Abstract,Task 1
"Extensive classification experiments on synthetic, real-world, and high-dimensional datasets demonstrate that the predictive performance of SFP is competitive with state-of-the-art algorithms such as random forest and SVM.",RESULTS
"We study the estimation of the latent variable Gaussian graphical model (LVGGM), where the precision matrix is the superposition of a sparse matrix and a low-rank matrix.",BACKGROUND
"In contrast, the problem is known to be solvable in polynomial time for comparability graphs of partially ordered sets with interval dimension at most 2 and height at most 2.",OTHERS
"This paper deals with the semantic interpretation of information resources (e.g., images, videos, 3D models).",OBJECTIVES
This paper presents a thorough survey of the current on-going research work and potential technologies of green IoT with an intention to provide some clues for future green IoT research.,CONCLUSIONS
"Inspired by previous work of Shoup, Lenstra-De Smit and Couveignes-Lercier, we give fast algorithms to compute in (the first levels of) the ell-adic closure of a finite field.",BACKGROUND/RESULTS
We have developed an SPR-type recovery technique that considers equilibrium and displacements constraints to obtain a very accurate recovered displacements field from which a recovered stress field can also be evaluated.,METHODS/RESULTS
This paper proposes a text summarization approach for factual reports using a deep learning model.,OBJECTIVES
"Two-step methods are not self starting, so compatible one-step methods are provided to take that first step with.",OTHERS
Our findings show that the performance gap between CPU and GPU implementations of the BML traffic model can be reduced by clever exploitation of all CPU features.,CONCLUSIONS
"For the general case, we provide a distributed local optimization algorithm (LOA) that finds the optimal placement policies for different types of BSs.",METHODS
The randomness in the communication is caused by both the error in the molecular production at the transmitter and the reception of molecules at the receiver.,BACKGROUND
"In this work, we consider a two-level hierarchical MIMO antenna array system, where each antenna of the upper level is made up of a subarray on the lower one.",OBJECTIVES
"Then we propose a definition of submodule error-correcting code, and investigate bounds and constructions for such codes.",OBJECTIVES
This paper proposes a novel approach for uncertainty quantification in dense Conditional Random Fields (CRFs).,OBJECTIVES
This intermediate attribute code has a strong advantage over the common `one-hot' class representation because it allows for understanding complex and unseen patterns symbolically using attributes.,METHODS
"By utilizing a specifically designed CNN to improve the frame-wise segmentation result, we can also achieve high accuracy.",METHODS
Training an AWE model has historically required a single batch of several hundred writing examples and human scores for each of them.,BACKGROUND
Information Flow (IF) is concerned with the distribution of knowledge.,BACKGROUND
"In the high SNR regime, however, the dependence on the right singular vectors cannot be avoided and we show the difficulty of computing the optimal precoder through an NP-hardness analysis.",RESULTS
Maurice Gross (1934-2001) was both a great linguist and a pioneer in natural language processing.,OTHERS
"Although several question answering datasets are available, most of such resources are not suitable for research on answer selection models for consumer questions.",BACKGROUND
"The basic concept is that the information about negotiators, their individual actions and dynamics can be used by software agents equipped with adaptive capabilities to learn from past negotiations and assist in selecting appropriate negotiation tactics.",METHODS
We captured 8 concerned software quality attributes based on the ISO 9126 standard and 12 application domains.,RESULTS
"Thus, the domain experts will benefit from both the high-level overview provided by the graphical notation and the detailed textual explanations of particular elements in the diagram.",CONCLUSIONS
Domain adaptation aims to learn models on a supervised source domain that perform well on an unsupervised target.,BACKGROUND
"In a large-scale experiment, we demonstrate the potential for knowledge base enrichment by applying CINEX to 2,474 frequent relations in Wikidata.",CONCLUSIONS
"However, a truly autonomous robot should develop perceptive abilities on its own, by interacting with its environment, and adapting to new situations.",BACKGROUND
"In this work, we propose a reliable interference estimation and CA performance prediction approach.",OBJECTIVES
"With the ubiquity of Internet technologies and growing demands for transparency and open data policies, the role of social networking and online deliberation tools for public engagement in decision-making has increased substantially in the last decades.",BACKGROUND
We use a local state-based scheduler to select a few critical data packets to send to the MAC.,OBJECTIVES/METHODS
The stability concept explored is the strong-core for PFGs which we found appropiate given the nature of the problem.,METHODS
Recommendation system is a type of information filtering systems that recommend various objects from a vast variety and quantity of items which are of the user interest.,BACKGROUND
"Furthermore, the rethinking process makes it easy to adapt to different evaluation criterion to match real-world application needs.",METHODS
"We give a polynomial-time dynamic programming algorithm for solving the linear complementarity problem with tridiagonal or, more generally, Hessenberg P-matrices.",RESULTS
"Here, we describe both the algorithm and our implementation on a high-speed, small UAV, flying at over 20 MPH (9 m/s) close to obstacles.",RESULTS
"In addition, we introduce an attention mechanism to handle the dynamic information in videos.",METHODS
Our experiments based on both synthetic and real photos have shown the promise of this image-based approach to estimating and monitoring air pollution.,RESULTS/CONCLUSIONS
"Our methods are evaluated on two public broadcast corpora and yield promising advances over competitive baselines in verification and audio clustering tasks, especially when dealing with short speaker utterances.",RESULTS
"We consider comprehensive data on the hiring events of 5032 faculty at all 205 Ph.D.-granting departments of computer science in the U.S. and Canada, and on the timing and titles of 200,476 associated publications.",METHODS
Nuri can also efficiently store and retrieve a large number of subgraphs on disk without being limited by the size of main memory.,METHODS
This paper describes a novel approach to analyze and control systems with multi-mode oscillation problems.,OBJECTIVES
We illustrate the effectiveness of the proposed model on a variety of synthetic and benchmark datasets for regression and classification.,RESULTS
We reduce the computational and storage requirements at Bob's receiver by assuming simple per-subchannel detectors.,METHODS
Identification of a groundwater contaminant source simultaneously with the hydraulic conductivity in highly-heterogeneous media often results in a high-dimensional inverse problem.,BACKGROUND
Sensor networks aim at monitoring their surroundings for event detection and object tracking.,BACKGROUND
"A node in a two-state network has binary types that are initially given, and a connection probability is determined from the state of the node pair.",METHODS
"Furthermore, it admits global-to-local inference in the following sense: we prove that two networks are weakly isomorphic if and only if all their motif sets are identical, thus answering the network reconstruction question.",RESULTS
"In addition to C-unbiasedness, a Cramer-Rao-type bound on the WMSE of C-unbiased estimators, denoted as Lehmann-unbiased CCRB (LU-CCRB), is derived.",OBJECTIVES/METHODS
"In this paper, we propose to partition the MaxSAT formula using a resolution-based graph representation.",METHODS
Learning to rank has recently emerged as an attractive technique to train deep convolutional neural networks for various computer vision tasks.,BACKGROUND
"In addition, properties of the semi-inner-product of nonlinear eigenfunctions induced by the functional are derived.",RESULTS
"Diabetes is a major public health problem in the United States, affecting roughly 30 million people.",BACKGROUND
Different research strategies can be used to explore different Software Engineering practices.,BACKGROUND
"We discuss common pitfalls and reproducibility issues, open-source our code on Github, and provide pre-trained models on TensorFlow Hub.",RESULTS
"To this end, this paper introduces APEChecker, a technique to automatically and efficiently manifest APEs.",METHODS
These results are quite promising from a practical standpoint and also encouraging for other types of image-guided surgeries.,CONCLUSIONS
We also propose an inverted prefix tree structure to accelerate the processing of a large number of subscription queries simultaneously.,METHODS
"Recently, by combining with policy gradient, Generative Adversarial Nets (GAN) that use a discriminative model to guide the training of the generative model as a reinforcement learning policy has shown promising results in text generation.",BACKGROUND
"In some cases, we get over 3 times more accurate models than a bench of surrogate models from the literature, and also over 3200 times faster than standard gradient-enhanced kriging models.",CONCLUSIONS
"Leveraging this, we propose the use of a human-in-the-loop strategy to reduce the burden of WSI annotation.",OBJECTIVES
Many aspects of this software integration can be generalized to serve as a template for federative cloud access.,RESULTS/CONCLUSIONS
"Additionally, we illustrate their usefulness on the task of understanding executions of a leader election protocol.",METHODS
"It is based on a split-and-extend approach, which allows the relay to split the set of bits connected to some parity-check of the LDPC code into two or several subsets.",METHODS
Improving performance of logic programs is thus one of the holy grails of Prolog system implementations and a wide range of approaches have historically been taken towards this goal.,BACKGROUND/OBJECTIVES
We find both first- and second-order changes in the location of adiabatic attractors and argue that the study of the continuously evolving attractor landscape constitutes a powerful tool for understanding the overall development of the neural dynamics.,RESULTS
Our approach is mathematically appealing from an optimization perspective and easy to reproduce.,RESULTS
"Also, it was observed that as the number of ships begin to increase in the sea, the max-min method performs significantly better with good fairness as compared to the other two methods.",CONCLUSIONS
A basic latent factor estimation technique of non-negative matrix factorization (NMF) is augmented with domain specific constraints to obtain sparse latent factors that are anchored to a fixed set of chronic conditions.,METHODS
"Thus, our novel method uniquely combines both link-based and content-based approaches.",OBJECTIVES/METHODS
"Compared to the conventional predictor based approaches, the proposed controller is capable of negotiating any input delay, within a stipulated range, without knowing the delay or its variation.",BACKGROUND/CONCLUSIONS
"We evaluate the selection mechanisms using published data on the current demand for electric power as a function of time of day, current driving habits for commuting, and the current rates at which electric vehicles can be charged on home outlets.",METHODS
Scholarly document creation continues to face various obstacles.,BACKGROUND
"Devices can retrieve the requested files from their caches, from neighboring devices in their proximity (cluster), or from the base station as a last resort.",BACKGROUND
Our focus on reducing CSPs to SAT allows us to leverage recent dramatic improvement in SAT solvers and automatically benefit from future progress.,OBJECTIVES
"Second, we use concepts and tools from control theory and build a linear contracting observer to estimate the latent variables in a sequential manner from new incoming measurements.",METHODS
"In this paper, we propose to use spatial information extracted at sub-6 GHz to help establish the mmWave link.",OBJECTIVES
The performance of the algorithm in exact arithmetic is reported for several test cases.,BACKGROUND/OBJECTIVES
It has favored a template style that is output-based and high level modeling languages as input.,RESULTS/CONCLUSIONS
Experiments using ground truth sockpuppet data show the effectiveness of the proposed schemes.,CONCLUSIONS
"In a sufficiently rich environment, the kernels of these functions correspond uniquely to the spatial configuration of the agent's exteroceptors.",OBJECTIVES/METHODS
"The proposed algorithm searches through the entire design space for a solution that minimizes the system total energy consumption, while satisfying the other design constraints.",METHODS
We study 400 real-world networks along with 2400 networks generated by five frequently used network models with previously fitted parameters to make the generated graphs as similar to the real network as possible.,METHODS
"Hence in this letter, we specifically design a class of low-interference NC-OFDM schemes for alleviating the introduced interference.",METHODS
We additionally obtain a clear improvement in CIFAR-100 classification accuracy by using random images from the Tiny Images dataset as unlabeled extra inputs during training.,RESULTS
"This approach usually comes at a price of increased complexity in fabrication and circuitry, and can be hard to adapt for non planar geometries.",BACKGROUND
The effects of different algorithmic details and varied amount of data are presented through ablative analysis.,RESULTS
"To do so, we design a character-level Recurrent Neural Network (RNN) that generates personalized product reviews.",METHODS
"In this paper, unsupervised learning methods, such as PCA or auto-encoder, are employed as the building block to learn filter banks at each layer.",METHODS
"Finally, we provide evidence for why a broader philosophical, sociological look at programming concepts should be of interest for programmers.",RESULTS
Our results suggest possible existence of different emotional associations for other types of chords.,CONCLUSIONS
"In stream-based programming, data sources are abstracted as a stream of values that can be manipulated via callback functions.",BACKGROUND
"Thus, in contrast to the normal case with sentential tactics, our tactics are designed to not only prove the theorem, but also to support explanation.",RESULTS
"However, it would be interesting to experimentally analyze if there exists any implicit characteristic of individuality which is insensitive to high intra-variable handwriting.",OBJECTIVES
"Robustness of hybrid control systems to measurement noise, actuator disturbances, and more generally perturbations, is analyzed.",BACKGROUND/OBJECTIVES
We introduce an improved unsupervised clustering protocol specially suited for large-scale structured data.,BACKGROUND
"We first benchmark the performance of system components (IO, CPU and GPU) in a docker container and the host system and compare the results to see if there's any difference.",METHODS
Recent studies have shown that integrating the hierarchical structure of the Gene Ontology (GO) data dramatically improves prediction accuracy.,BACKGROUND
"Moreover, with these improvements, the end-to-end training time for CNNs is directly proportional to the FLOPS delivered by the CPU, which enables us to efficiently train hybrid CPU-GPU systems for CNNs.",RESULTS/CONCLUSIONS
"Adopting the variational GNE, that is the solution of a variational inequality, as a refinement of GNE, we introduce a primal-dual algorithm that players can use to seek it in a distributed manner.",METHODS
"This alternative method of formulation of system dynamics, using Bond Graphs, offers a rich set of features that include pictorial representation of the dynamics of translation and rotation for each link of the mechanism in the inertial frame, representation and handling of constraints at the joints, depiction of causality, obtaining dynamic reaction forces and moments at various locations in the mechanism and so on.",RESULTS/CONCLUSIONS
"In this paper, list decoding is used to correct the undetected errors.",OBJECTIVES/METHODS
"However, PolSAR images are contaminated by speckle noise due to the coherent illumination employed during the data acquisition.",BACKGROUND
